stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,,Ul. 13. jula (B),,42.446057,19.254951,,,,,,
2,,Ul. II Crnogorskog bataljona (B),,42.455609,19.26498,,,,,,
3,,Trg Golootočkih žrtava (A),,42.432771,19.268173,,,,,,
4,,OŠ Pavle Rovinski (A),,42.42722862,19.27556103,,,,,,
5,,Kozaračka (B),,42.424957,19.272729,,,,,,
6,,Spomenik (A),,42.44845138,19.28898945,,,,,,
7,,Skopska I (A),,42.4459,19.282506,,,,,,
8,,Savin most (A),,42.447191,19.285146,,,,,,
9,,Donja Gorica II (A),,42.423989,19.218426,,,,,,
10,,Gradski stadion (B),,42.443523,19.26345,,,,,,
11,,Pozorište (A),,42.44271848,19.26066935,,,,,,
12,,Medicinska škola (A),,42.436883,19.249407,,,,,,
13,,Orjenska III (A),,42.457055,19.293815,,,,,,
14,,Capital plaza III (A),,42.43934163,19.2402792,,,,,,
15,,Orjenska IV (A),,42.458693,19.295913,,,,,,
17,,Franca Rozmana I (B),,42.453472,19.287732,,,,,,
18,,Gornja Gorica III (B),,42.435601,19.220817,,,,,,
19,,Stanica prve pomoći (A),,42.444877,19.261695,,,,,,
20,,Ul. II Crnogorskog bataljona (A),,42.455438,19.264891,,,,,,
21,,Ul. Nikole Tesle I (A),,42.458118,19.269394,,,,,,
22,,Zelenika (A),,42.412877,19.247207,,,,,,
23,,Orjenska,,42.453329,19.288639,,,,,,
24,,Manastirska II (A),,42.405345,19.241602,,,,,,
25,,PEP garaža (A),,42.421591,19.250132,,,,,,
26,,Donja Gorica - hotel (A),,42.418445,19.200703,,,,,,
28,,Bulevar Svetog Petra Cetinjskog I (A),,42.44239,19.250911,,,,,,
29,,Gornja Gorica III (A),,42.43541032,19.22089756,,,,,,
30,,Vezirov most (A),,42.450125,19.262089,,,,,,
32,,Most Braće Zlatičanin (A),,42.43739778,19.26152229,,,,,,
33,,Soliteri I (A),,42.450292,19.2594,,,,,,
34,,Ul. AVNOJ-a (A),,42.415638,19.248735,,,,,,
35,,Bracana Bracanovića (A),,42.429367,19.261711,,,,,,
36,,Ul. 4. jula III (A),,42.428294,19.259641,,,,,,
37,,Soliteri Zabjelo (A),,42.424378,19.252049,,,,,,
38,,Donja Gorica I (A),,42.426048,19.221552,,,,,,
39,,Tržni centar (A),,42.43146669,19.27915313,,,,,,
40,,Skopska II (A),,42.443284,19.278162,,,,,,
41,,Donja Gorica III (A),,42.420305,19.212832,,,,,,
42,,Medicinska škola (B),,42.43676,19.24973,,,,,,
43,,Orjenska III (B),,42.457267,19.293885,,,,,,
44,,Bulevar Ivana Crnojevića I (A),,42.44181787,19.26923499,,,,,,
45,,Dom zdravlja Pobrežje (A),,42.430544,19.259021,,,,,,
46,,Janka Đonovića I (A),,42.41825221,19.2438868,,,,,,
47,,Stanica prve pomoći (B),,42.445256,19.26164,,,,,,
48,,Ul. Miloša Gilića (B),,42.460358,19.294917,,,,,,
49,,Velika pijaca (A),,42.431725,19.261954,,,,,,
50,,Orjenska II (A),,42.454863,19.29114,,,,,,
51,,Blok 5 I (A),,42.445788,19.246236,,,,,,
52,,Stadion FK Kom (A),,42.464832,19.296204,,,,,,
53,,Splitske Zgrade (A),,42.43083338,19.27772284,,,,,,
54,,Kozaračka (A),,42.425069,19.273147,,,,,,
55,,Vezirov most (B),,42.450527,19.261993,,,,,,
56,,Dalmatinska I (A),,42.448201,19.245221,,,,,,
57,,Park Zlatica (A),,42.454449,19.285491,,,,,,
58,,Ul. Nikole Tesle I (B),,42.458349,19.269504,,,,,,
59,,Kralja Nikole (A),,42.425298,19.254723,,,,,,
60,,Pasarela (A),,42.461471,19.293245,,,,,,
61,,Donja Gorica IV (A),,42.41917572,19.20737386,,,,,,
62,,Gornja Gorica (A),,42.433607,19.224423,,,,,,
63,,Ul. Miloša Gilića (A),,42.46043,19.29489,,,,,,
64,,Dalmatinska I (B),,42.44854539,19.24444735,,,,,,
65,,Mareza (A),,42.471527,19.186738,,,,,,
66,,Ul. Nikole Tesle III (B),,42.460069,19.276886,,,,,,
67,,Ul. 13. jula (A),,42.446077,19.255482,,,,,,
72,,Savin most (B),,42.446848,19.284172,,,,,,
73,,Gradski stadion (A),,42.443615,19.263746,,,,,,
74,,PEP garaža (B),,42.42140652,19.25005924,,,,,,
75,,Mala pijaca (B),,42.445076,19.249287,,,,,,
76,,Mareza (B),,42.47143928,19.18661112,,,,,,
77,,Blok 5 (žuta zgrada) (A),,42.448762,19.243293,,,,,,
78,,Blok 5 - benz. pumpa (B),,42.447257,19.245724,,,,,,
79,,KBC (B),,42.438959,19.246174,,,,,,
80,,Ul. Braće Ribar I (B),,42.43810884,19.28670293,,,,,,
81,,Konik (B),,42.42496522,19.30148721,,,,,,
82,,Ul. Nikole Tesle II (B),,42.460329,19.273958,,,,,,
84,,Bulevar Ivana Crnojevića II (B),,42.44258586,19.26729709,,,,,,
85,,Dalmatinska II (B),,42.449136,19.243405,,,,,,
86,,Ul. Oktobarske revolucije II (B),,42.43518861,19.26175296,,,,,,
87,,Office centar (B),,42.435978,19.291824,,,,,,
88,,Nikšićki put I (A),,42.437244,19.226844,,,,,,
89,,Nikšićki put II (A),,42.439213,19.221637,,,,,,
90,,Park Zlatica (B),,42.45432,19.286028,,,,,,
94,,Boška Buhe II (A),,42.453219,19.230435,,,,,,
95,,Tološko groblje I (A),,42.45484276,19.21348393,,,,,,
96,,Zelenika (B),,42.412969,19.247389,,,,,,
97,,Dalmatinska III (B),,42.450583,19.241099,,,,,,
98,,Milana Raičkovića III (B),,42.454854,19.224167,,,,,,
99,,Elastik (A),,42.452472,19.219419,,,,,,
100,,Blok 6 (ispred Tološke šume) (A),,42.44677918,19.23780355,,,,,,
101,,Delta City I (B),,42.438187,19.235967,,,,,,
103,,OŠ Marko Miljanov (B),,42.43850234,19.28249381,,,,,,
105,,Kamionska pijaca (B),,42.42334,19.268941,,,,,,
106,,27. marta I (B),,42.426419,19.246381,,,,,,
107,,Goce Delčeva (B),,42.442347,19.281752,,,,,,
108,,Skopska I (B),,42.445683,19.281987,,,,,,
109,,Bivša kasarna Masline (B),,42.44195132,19.28468596,,,,,,
110,,Tološi II (A),,42.44989616,19.2275843,,,,,,
111,,Tološi I (B),,42.44812047,19.23288168,,,,,,
112,,Vrela ribnička (B),,42.43434813,19.2943961,,,,,,
113,,Mitra Bakića (A),,42.43203704,19.26711202,,,,,,
115,,Vojvode Ilije Plamenca I (A),,42.431946,19.243516,,,,,,
117,,Velika pijaca (B),,42.432722,19.262306,,,,,,
118,,Stadion FK Kom (B),,42.465006,19.296022,,,,,,
119,,Ul. 4. jula III (B),,42.428611,19.260022,,,,,,
120,,Bivša kasarna Masline (A),,42.441734,19.285242,,,,,,
121,,KBC (A),,42.438717,19.245366,,,,,,
122,,Zgrada Vektre (B),,42.4417,19.247621,,,,,,
123,,Nikšićki put II (B),,42.43961122,19.22004949,,,,,,
124,,Vatrogasna (A),,42.424433,19.267886,,,,,,
125,,Blok 5 I (B),,42.445767,19.246092,,,,,,
126,,Capital plaza II (A),,42.440302,19.240815,,,,,,
128,,Bracana Bracanovića (B),,42.428678,19.262371,,,,,,
129,,Pozorište (B),,42.441434,19.259703,,,,,,
130,,Bulevar Ivana Crnojevića I (B),,42.441612,19.27056,,,,,,
131,,Boška Buhe I (B),,42.455509,19.232607,,,,,,
132,,Ul. Oktobarske revolucije II (A),,42.43500253,19.26265419,,,,,,
133,,Španskih boraca I (A),,42.42637572,19.30042516,,,,,,
134,,Stadion Tološi (A),,42.45102225,19.22411176,,,,,,
135,,Elektrodistribucija (A),,42.440425,19.254219,,,,,,
136,,Delta City I (A),,42.43775,19.234309,,,,,,
137,,OŠ Marko Miljanov (A),,42.43856172,19.28224504,,,,,,
142,,Milana Raičkovića III (A),,42.454986,19.223632,,,,,,
